"direction","partner_name","licensor","licensee","status","start_date","end_type","end_date","territories","distribution_types","platform","royalty_type","royalty_details","payment_terms","notes","website_link","source_key","import_action","review_notes","source_sheet","source_row","document_url","partner_website","partner_contacts","content_titles","content_seasons","reporting_frequency","raw_source_data"
"rights_out","Fire TV/FTVC (Amazon)","TBN","Fire TV/FTVC (Amazon)","active","2024-10-16","","","Global","FAST","Fire TV/FTVC (Amazon)","revenue_share","20% revenue share","","Connected through Xumo
Distribution point: Xumo
Source contract type: Content License Agreement
Source content/feed scope: TBN Digital
Source deal terms: 0.2
Payment Tracking row 2: VOD/FAST: FAST; Platform: Fire TV/FTVC (Amazon); Reports: Email Monthly; Payment Recieved: Monthly; Payment Terms: Net 90; Report Type: Linear","https://www.amazon.com/firetv/?tag=googhydr-20&hvadid=743821782696&hvpos=&hvnetw=g&hvrand=11300524417564898302&hvpone=&hvptwo=&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9013121&hvtargid=kwd-295921617290&ref=pd_sl_28ha0z2bkk_e&gad_campaignid=893848959&gbraid=0AAAAADl_c3IXIMGasWfpQO-bQ9LoqJ4fp&gclid=Cj0KCQjw3aLHBhDTARIsAIRij591nGh9NqqnPH67n1O6JfPe51uKLyaaOryLvYKM5-BgA7CCERZxXC4aAnnREALw_wcB","digital-licensing-master:FAST Contracts:2","review","Missing expiration/end-type information","FAST Contracts","2","https://www.dropbox.com/work/Digital%20Platforms%20Team/12.%20Digital%20Licensing%20%26%20Distribution/1.%20Distribution%20Partners/3.%20Active%20Partners/Amazon%20Fire/Contracts/2020-2024?preview=FULLY+EXECUTED_+AMAZON+FIRE_AVOD+Standalone+Content+Addendum_10.16.24.pdf","https://www.amazon.com/firetv/?tag=googhydr-20&hvadid=743821782696&hvpos=&hvnetw=g&hvrand=11300524417564898302&hvpone=&hvptwo=&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9013121&hvtargid=kwd-295921617290&ref=pd_sl_28ha0z2bkk_e&gad_campaignid=893848959&gbraid=0AAAAADl_c3IXIMGasWfpQO-bQ9LoqJ4fp&gclid=Cj0KCQjw3aLHBhDTARIsAIRij591nGh9NqqnPH67n1O6JfPe51uKLyaaOryLvYKM5-BgA7CCERZxXC4aAnnREALw_wcB","Corey Owen | coreowe@amazon.com | aecs-video-channel-reporting@amazon.com(for issues with reports)","TBN Digital","","","{""FAST Platform"":""Fire TV/FTVC (Amazon)"",""Contract Status"":""Active"",""FAST Feeds"":""TBN Digital"",""Territory"":""WW"",""Deal Terms ($$)"":""0.2"",""Distribution Point"":""Xumo"",""Contract Type"":""Content License Agreement"",""Contract Date"":""2024-10-16"",""Expiration Date"":"""",""Contract Link"":""Fire TV"",""Primary Contact"":""Corey Owen"",""Email"":""coreowe@amazon.com"",""Additional Email"":"""",""Tech Email"":"""",""Website Link"":""https://www.amazon.com/firetv/?tag=googhydr-20&hvadid=743821782696&hvpos=&hvnetw=g&hvrand=11300524417564898302&hvpone=&hvptwo=&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9013121&hvtargid=kwd-295921617290&ref=pd_sl_28ha0z2bkk_e&gad_campaignid=893848959&gbraid=0AAAAADl_c3IXIMGasWfpQO-bQ9LoqJ4fp&gclid=Cj0KCQjw3aLHBhDTARIsAIRij591nGh9NqqnPH67n1O6JfPe51uKLyaaOryLvYKM5-BgA7CCERZxXC4aAnnREALw_wcB"",""Notes"":""Connected through Xumo""}"
"rights_out","Amazon Prime Linear","TBN","Amazon Prime Linear","active","2022-09-23","","","Global","FAST","Amazon Prime Linear","revenue_share","20% revenue share","","Perpetuity / Connected Through XUMO/Connected through Xumo/ Freevee is transitioning into Prime Video. Freevee will be available within Prime. Prime= SVOD FreeVee=AVOD
Distribution point: TBN (Xumo) / WOF (JW)
Source contract type: Content License Agreement
Source content/feed scope: TBN Digital / WOF
Source deal terms: 0.2
Source expiration: Effective unless terminated","https://www.primevideo.com/offers/nonprimehomepage/ref=dv_web_force_root","digital-licensing-master:FAST Contracts:3","review","Expiration language requires review: Effective unless terminated","FAST Contracts","3","https://www.dropbox.com/work/Digital%20Platforms%20Team/12.%20Digital%20Licensing%20%26%20Distribution/1.%20Distribution%20Partners/3.%20Active%20Partners/Amazon%20Freevee/Contracts/2020-2024?preview=EXECUTED+-+FREEVEE+-+US+-+Trinity+Broadcasting+of+Texas%2C+Inc.+-+PVD+Linear+Service+Addendum+-+2022.pdf","https://www.primevideo.com/offers/nonprimehomepage/ref=dv_web_force_root","Kavitha Cherian | cherian@amazon.com | ausyip@amazon.com | guerrone@amazon.com","TBN Digital|WOF","","","{""FAST Platform"":""Amazon Prime Linear"",""Contract Status"":""Active"",""FAST Feeds"":""TBN Digital / WOF"",""Territory"":""WW"",""Deal Terms ($$)"":""0.2"",""Distribution Point"":""TBN (Xumo) / WOF (JW)"",""Contract Type"":""Content License Agreement"",""Contract Date"":""2022-09-23"",""Expiration Date"":""Effective unless terminated"",""Contract Link"":""FreeVee"",""Primary Contact"":""Kavitha Cherian"",""Email"":""cherian@amazon.com"",""Additional Email"":""guerrone@amazon.com"",""Tech Email"":"""",""Website Link"":""https://www.primevideo.com/offers/nonprimehomepage/ref=dv_web_force_root"",""Notes"":""Perpetuity / Connected Through XUMO/Connected through Xumo/ Freevee is transitioning into Prime Video. Freevee will be available within Prime. Prime= SVOD FreeVee=AVOD""}"
"rights_out","TCL/FALCON","TBN","TCL/FALCON","active","2024-05-29","date","2025-05-14","","FAST","TCL/FALCON","revenue_share","20% revenue share","","Auto renews for one year periods unless either party gives 90 days written notice / Connected through XUMO/ updating graphics/ looks like we have VOD assets out to them but confirmed in email we don't
Distribution point: Xumo
Source contract type: Content License Agreement
Source content/feed scope: TBN Digital
Source deal terms: 0.2
Source expiration: 2 year ending 5/14/25
Payment Tracking row 6: VOD/FAST: FAST; Platform: TCL/FALCON; Reports: Email Quarterly; Payment Recieved: Q; Payment Terms: Net 90; Report Type: Linear; Notes: Can withhold payment if less than $500 until next quarter /","https://www.tcl.com/global/en/ffalcon","digital-licensing-master:FAST Contracts:4","review","","FAST Contracts","4","https://www.dropbox.com/work/Digital%20Platforms%20Team/12.%20Digital%20Licensing%20%26%20Distribution/1.%20Distribution%20Partners/3.%20Active%20Partners/TCL/Contracts/2020-2024?preview=ContentDistributionAgreement-TCL_TBN+FULLY+SIGNED.pdf","https://www.tcl.com/global/en/ffalcon","Annie Huang | annie.huang@tcl.com | catherine.m.zhang@tcl.com","TBN Digital","","","{""FAST Platform"":""TCL/FALCON"",""Contract Status"":""Active"",""FAST Feeds"":""TBN Digital"",""Territory"":"""",""Deal Terms ($$)"":""0.2"",""Distribution Point"":""Xumo"",""Contract Type"":""Content License Agreement"",""Contract Date"":""2024-05-29"",""Expiration Date"":""2 year ending 5/14/25"",""Contract Link"":""TCL/FFalcon"",""Primary Contact"":""Annie Huang"",""Email"":""annie.huang@tcl.com"",""Additional Email"":"""",""Tech Email"":"""",""Website Link"":""https://www.tcl.com/global/en/ffalcon"",""Notes"":""Auto renews for one year periods unless either party gives 90 days written notice / Connected through XUMO/ updating graphics/ looks like we have VOD assets out to them but confirmed in email we don't""}"
"rights_out","VIZIO","TBN","VIZIO","active","2021-07-09","date","2023-07-08","United States|United Kingdom|Canada","FAST","VIZIO","revenue_share","20% revenue share","","Auto-renewals for 1 year periods unless either party gives notice of intent not to renew within 30 days / Connected through XUMO
Distribution point: Xumo
Source contract type: Content License Agreement
Source content/feed scope: TBN Digital
Source deal terms: 0.2
Source expiration: 2 year ending 7/8/2023
Payment Tracking row 21: VOD/FAST: VOD/FAST; Platform: VIZIO; Reports: Email Monthly; Payment Recieved: Q; Payment Terms: Net 30; Report Type: Detailed; Drive Thru History: Yes
Email List & Tracking Notes row 30: Company: VIZIO; Email: claire.gonzales@vizio.com; Email 2: nicole.baio@vizio.com; Billing: david.zolot@vizio.com","https://www.vizio.com/en/home","digital-licensing-master:FAST Contracts:5","import","","FAST Contracts","5","https://www.dropbox.com/work/Digital%20Platforms%20Team/12.%20Digital%20Licensing%20%26%20Distribution/1.%20Distribution%20Partners/3.%20Active%20Partners/VIZIO/Contracts/2020-2024?preview=TBN_-_VIZIO_-_Video_Programming_License_Agreement_%28FINAL_EXECUTION_COPY_7-9-2021%29.pdf","https://www.vizio.com/en/home","David Zolot | claire.gonzalez@vizio.com (partner manager) | Nicole.baio@vizio.com | chris.woolsey@vizio.com | claire.gonzales@vizio.com | nicole.baio@vizio.com | david.zolot@vizio.com","TBN Digital","","","{""FAST Platform"":""VIZIO"",""Contract Status"":""Active"",""FAST Feeds"":""TBN Digital"",""Territory"":""US, UK, Canada"",""Deal Terms ($$)"":""0.2"",""Distribution Point"":""Xumo"",""Contract Type"":""Content License Agreement"",""Contract Date"":""2021-07-09"",""Expiration Date"":""2 year ending 7/8/2023"",""Contract Link"":""VIZIO"",""Primary Contact"":""David Zolot"",""Email"":""claire.gonzalez@vizio.com (partner manager)"",""Additional Email"":""chris.woolsey@vizio.com"",""Tech Email"":"""",""Website Link"":""https://www.vizio.com/en/home"",""Notes"":""Auto-renewals for 1 year periods unless either party gives notice of intent not to renew within 30 days / Connected through XUMO""}"
"rights_out","Xumo Play","TBN","Xumo Play","active","2020-04-30","","","United States|United Kingdom|Canada","FAST","Xumo Play","revenue_share","20% revenue share","","50% net ad revenue
Distribution point: Xumo
Source contract type: Content License Agreement
Source content/feed scope: TBN Digital
Source deal terms: 0.2
Payment Tracking row 20: VOD/FAST: VOD/FAST; Platform: Xumo Play; Reports: Email Quarterly; Payment Recieved: Q; Payment Terms: Net 30; Report Type: Detailed; Drive Thru History: Yes
Email List & Tracking Notes row 31: Company: Xumo Play; Email: aalegr224@comcast.com; Billing: contentaccounting@xumo.com; Tracking Notes: Waiting on XUMO to adjust revenue reports; As of Date: 2025-08-28","https://play.xumo.com/live-guide/trinity-broadcasting-network","digital-licensing-master:FAST Contracts:6","review","Missing expiration/end-type information","FAST Contracts","6","https://www.dropbox.com/work/Digital%20Platforms%20Team/12.%20Digital%20Licensing%20%26%20Distribution/1.%20Distribution%20Partners/3.%20Active%20Partners/Xumo/Contracts/2020-2024?preview=2020.08.05_Xumo+-+Trinity+Broadcasting+Network+-+CLA.pdf","https://play.xumo.com/live-guide/trinity-broadcasting-network","Aisha Pinkney | apinkney@xumo.com | channelsupport@xumo.com.      contentaccounting@xumo.com. | bmosteller@xumo.com | kbenigno@xumo.com | aalegr224@comcast.com | contentaccounting@xumo.com","TBN Digital","","","{""FAST Platform"":""Xumo Play"",""Contract Status"":""Active"",""FAST Feeds"":""TBN Digital"",""Territory"":""US, UK, Canada"",""Deal Terms ($$)"":""0.2"",""Distribution Point"":""Xumo"",""Contract Type"":""Content License Agreement"",""Contract Date"":""2020-04-30"",""Expiration Date"":"""",""Contract Link"":""Xumo"",""Primary Contact"":""Aisha Pinkney"",""Email"":""apinkney@xumo.com"",""Additional Email"":""bmosteller@xumo.com"",""Tech Email"":""kbenigno@xumo.com"",""Website Link"":""https://play.xumo.com/live-guide/trinity-broadcasting-network"",""Notes"":""50% net ad revenue""}"
"rights_out","Google Play","TBN","Google Play","active","2026-01-09","","","United States|Canada","FAST","Google Play","revenue_share","20% revenue share","","Distribution point: Xumo
Source contract type: Content License Agreement
Source content/feed scope: TBN Digital
Source deal terms: 0.2","","digital-licensing-master:FAST Contracts:7","review","Missing expiration/end-type information","FAST Contracts","7","https://www.dropbox.com/scl/fi/h4uqbc01cwlupo65da3yy/2026.01.09_Xumo-TBN-AR-CLA.pdf?rlkey=c71cgpx8jfydhuazhqwsf8nqw&st=3akfxyiu&dl=0","","","TBN Digital","","","{""FAST Platform"":""Google Play"",""Contract Status"":""Active"",""FAST Feeds"":""TBN Digital"",""Territory"":""US, Canada"",""Deal Terms ($$)"":""0.2"",""Distribution Point"":""Xumo"",""Contract Type"":""Content License Agreement"",""Contract Date"":""2026-01-09"",""Expiration Date"":"""",""Contract Link"":""Google/Vidaa/Hisense"",""Primary Contact"":"""",""Email"":"""",""Additional Email"":"""",""Tech Email"":"""",""Website Link"":"""",""Notes"":""""}"
"rights_out","MoreTV*","TBN","MoreTV*","draft","","","","","FAST","MoreTV*","","","","_Term possibly ended? removed Hillsong channel, no language of replacing with TBN inspire/ reached out never heard back
Source content/feed scope: TBN COM","https://moretv.dk/","digital-licensing-master:FAST Contracts:8","review","Source status ""Unknown"" was retained as draft; Missing expiration/end-type information","FAST Contracts","8","https://www.dropbox.com/work/Digital%20Platforms%20Team/12.%20Digital%20Licensing%20%26%20Distribution/1.%20Distribution%20Partners/3.%20Active%20Partners/MoreTV/Contracts/2020-2024?preview=2020.10.15+TV+LICENSING+AGREEMENT-+MORETV+v1.0_SENT+9.21.20.pdf","https://moretv.dk/","Henrik Engedal | hen@moretv.dk","TBN COM","","","{""FAST Platform"":""MoreTV*"",""Contract Status"":""Unknown"",""FAST Feeds"":""TBN COM"",""Territory"":"""",""Deal Terms ($$)"":"""",""Distribution Point"":"""",""Contract Type"":"""",""Contract Date"":"""",""Expiration Date"":"""",""Contract Link"":""More TV"",""Primary Contact"":""Henrik Engedal"",""Email"":""hen@moretv.dk"",""Additional Email"":"""",""Tech Email"":"""",""Website Link"":""https://moretv.dk/"",""Notes"":""_Term possibly ended? removed Hillsong channel, no language of replacing with TBN inspire/ reached out never heard back""}"
"rights_out","Miracle Channel*","TBN","Miracle Channel*","active","","","","Canada","FAST","Miracle Channel*","","","","Source content/feed scope: TBN COM","https://www.miraclechannel.ca/","digital-licensing-master:FAST Contracts:9","review","Missing expiration/end-type information","FAST Contracts","9","https://www.dropbox.com/work/Digital%20Platforms%20Team/12.%20Digital%20Licensing%20%26%20Distribution/1.%20Distribution%20Partners/3.%20Active%20Partners/Miracle%20Channel/Contracts?preview=TBN+MCA+Memorandum+of+Understanding.pdf","https://www.miraclechannel.ca/","Chelsea Kleinsasser | chelsea.kleinsasser@mcamediagroup.com | david.craig@mcamediagroup.com","TBN COM","","","{""FAST Platform"":""Miracle Channel*"",""Contract Status"":""Active"",""FAST Feeds"":""TBN COM"",""Territory"":""Canada"",""Deal Terms ($$)"":"""",""Distribution Point"":"""",""Contract Type"":"""",""Contract Date"":"""",""Expiration Date"":"""",""Contract Link"":""Miracle Channel"",""Primary Contact"":"""",""Email"":"""",""Additional Email"":""chelsea.kleinsasser@mcamediagroup.com"",""Tech Email"":""david.craig@mcamediagroup.com"",""Website Link"":""https://www.miraclechannel.ca/"",""Notes"":""""}"
"rights_out","KLOWD TV","TBN","KLOWD TV","active","","date","2026-04-29","Global","FAST","KLOWD TV","","","","Source content/feed scope: TBN COM
Source expiration: 2026-04-29","","digital-licensing-master:FAST Contracts:10","import","","FAST Contracts","10","https://www.dropbox.com/scl/fi/2iawhglxqc2vosb0qwm2l/KlowdTV-TBN-Fully-executed-4.29.26.pdf?rlkey=2owhoz11b2xwfon7ocjo0bp6v&st=3fg8w0im&dl=0","","","TBN COM","","","{""FAST Platform"":""KLOWD TV"",""Contract Status"":""Active"",""FAST Feeds"":""TBN COM"",""Territory"":""WW"",""Deal Terms ($$)"":"""",""Distribution Point"":"""",""Contract Type"":"""",""Contract Date"":"""",""Expiration Date"":""2026-04-29"",""Contract Link"":""Klowd TV"",""Primary Contact"":"""",""Email"":"""",""Additional Email"":"""",""Tech Email"":"""",""Website Link"":"""",""Notes"":""""}"
"rights_out","New Platforms Coming","TBN","New Platforms Coming","draft","","","","","FAST","New Platforms Coming","","","","","","digital-licensing-master:FAST Contracts:11","review","Missing status was retained as draft; Missing expiration/end-type information","FAST Contracts","11","","","","","","","{""FAST Platform"":""New Platforms Coming"",""Contract Status"":"""",""FAST Feeds"":"""",""Territory"":"""",""Deal Terms ($$)"":"""",""Distribution Point"":"""",""Contract Type"":"""",""Contract Date"":"""",""Expiration Date"":"""",""Contract Link"":"""",""Primary Contact"":"""",""Email"":"""",""Additional Email"":"""",""Tech Email"":"""",""Website Link"":"""",""Notes"":""""}"
